DY,32,0.500000,1.937603,0.001898,244,0.003385
DY-Nest,32,0.500000,0.729584,0.001827,90,0.002135
DY-HB,32,0.500000,0.598874,0.001829,73,0.002137
E2-ADMM,32,0.500000,2.164812,0.001899,256,0.002688
E2-ADMM-Nest,32,0.500000,0.840246,0.001827,100,0.002135
E2-ADMM-HB,32,0.500000,0.662580,0.001827,78,0.002135
E-ADMM,32,0.500000,2.089643,0.001899,255,0.002767
E-ADMM-Nest,32,0.500000,0.872772,0.001827,106,0.002135
E-ADMM-HB,32,0.500000,0.665861,0.001827,80,0.002135
DY,32,0.250000,3.967251,0.004939,501,0.011056
DY-Nest,32,0.250000,1.543929,0.003986,194,0.006381
DY-HB,32,0.250000,1.104211,0.003985,135,0.006376
E2-ADMM,32,0.250000,4.254378,0.004823,501,0.010107
E2-ADMM-Nest,32,0.250000,1.540969,0.003988,182,0.006390
E2-ADMM-HB,32,0.250000,1.093151,0.003985,129,0.006376
E-ADMM,32,0.250000,4.186263,0.004927,501,0.011027
E-ADMM-Nest,32,0.250000,1.544228,0.003985,187,0.006379
E-ADMM-HB,32,0.250000,1.020065,0.003985,122,0.006377
DY,34,0.750000,1.772148,0.001164,211,0.002568
DY-Nest,34,0.750000,0.573721,0.001049,67,0.001108
DY-HB,34,0.750000,0.507498,0.001050,57,0.001109
E2-ADMM,34,0.750000,1.649744,0.001164,181,0.003140
E2-ADMM-Nest,34,0.750000,0.708591,0.001050,79,0.001109
E2-ADMM-HB,34,0.750000,0.535583,0.001050,59,0.001109
E-ADMM,34,0.750000,1.590230,0.001164,184,0.003328
E-ADMM-Nest,34,0.750000,0.689038,0.001050,79,0.001109
E-ADMM-HB,34,0.750000,0.511111,0.001050,57,0.001109
DY,34,0.500000,3.193474,0.001648,381,0.001950
DY-Nest,34,0.500000,0.975871,0.001648,113,0.001949
DY-HB,34,0.500000,0.657061,0.001648,76,0.001949
E2-ADMM,34,0.500000,2.482378,0.001700,280,0.003019
E2-ADMM-Nest,34,0.500000,0.974685,0.001648,110,0.001949
E2-ADMM-HB,34,0.500000,0.703543,0.001648,79,0.001950
E-ADMM,34,0.500000,2.502020,0.001700,290,0.003015
E-ADMM-Nest,34,0.500000,1.010447,0.001648,116,0.001950
E-ADMM-HB,34,0.500000,0.683699,0.001648,76,0.001950
DY,34,0.250000,4.202428,0.005523,501,0.015560
DY-Nest,34,0.250000,1.610882,0.003718,185,0.006287
DY-HB,34,0.250000,1.180777,0.003711,134,0.006257
E2-ADMM,34,0.250000,4.556827,0.005399,501,0.015111
E2-ADMM-Nest,34,0.250000,1.588838,0.003714,177,0.006275
E2-ADMM-HB,34,0.250000,1.077314,0.003711,122,0.006260
E-ADMM,34,0.250000,4.311574,0.005631,501,0.016055
E-ADMM-Nest,34,0.250000,2.124201,0.003711,247,0.006259
E-ADMM-HB,34,0.250000,1.153500,0.003710,133,0.006255
DY,36,0.750000,2.178402,0.001066,251,0.003102
DY-Nest,36,0.750000,0.644099,0.000968,73,0.001028
DY-HB,36,0.750000,0.482035,0.000968,53,0.001028
E2-ADMM,36,0.750000,2.034779,0.001065,224,0.003240
E2-ADMM-Nest,36,0.750000,0.799325,0.000968,87,0.001027
E2-ADMM-HB,36,0.750000,0.593422,0.000968,64,0.001028
E-ADMM,36,0.750000,1.999600,0.001065,225,0.003485
E-ADMM-Nest,36,0.750000,0.634211,0.000968,70,0.001027
E-ADMM-HB,36,0.750000,0.478670,0.000968,52,0.001028
DY,36,0.500000,4.274119,0.001518,498,0.001822
DY-Nest,36,0.500000,1.085918,0.001519,125,0.001822
DY-HB,36,0.500000,0.745890,0.001518,85,0.001821
E2-ADMM,36,0.500000,4.510822,0.001518,494,0.001822
E2-ADMM-Nest,36,0.500000,1.336066,0.001518,145,0.001821
E2-ADMM-HB,36,0.500000,0.890977,0.001518,97,0.001822
E-ADMM,36,0.500000,4.396004,0.001518,492,0.001822
E-ADMM-Nest,36,0.500000,1.131073,0.001518,123,0.001821
E-ADMM-HB,36,0.500000,0.773080,0.001519,84,0.001822
DY,36,0.250000,4.326602,0.007806,501,0.027595
DY-Nest,36,0.250000,1.472342,0.003484,169,0.006226
DY-HB,36,0.250000,1.473755,0.003484,169,0.006219
E2-ADMM,36,0.250000,4.613213,0.007450,501,0.026844
E2-ADMM-Nest,36,0.250000,1.758617,0.003493,191,0.006262
E2-ADMM-HB,36,0.250000,1.124278,0.003485,123,0.006210
E-ADMM,36,0.250000,4.500143,0.007692,501,0.027562
E-ADMM-Nest,36,0.250000,2.114081,0.003486,234,0.006227
E-ADMM-HB,36,0.250000,1.369698,0.003484,151,0.006219
DY,38,0.750000,3.045418,0.000909,336,0.000968
DY-Nest,38,0.750000,0.751374,0.000909,82,0.000969
DY-HB,38,0.750000,0.486825,0.000909,51,0.000969
E2-ADMM,38,0.750000,1.811943,0.001808,184,0.007415
E2-ADMM-Nest,38,0.750000,0.851658,0.000909,88,0.000969
E2-ADMM-HB,38,0.750000,0.623353,0.000909,64,0.000968
E-ADMM,38,0.750000,1.671434,0.001808,177,0.008606
E-ADMM-Nest,38,0.750000,0.786466,0.000909,84,0.000969
E-ADMM-HB,38,0.750000,0.524299,0.000909,55,0.000968
DY,38,0.500000,3.439538,0.001425,379,0.001723
DY-Nest,38,0.500000,1.252539,0.001424,135,0.001722
DY-HB,38,0.500000,0.834518,0.001424,90,0.001722
E2-ADMM,38,0.500000,3.578718,0.001425,376,0.001723
E2-ADMM-Nest,38,0.500000,1.310274,0.001424,138,0.001723
E2-ADMM-HB,38,0.500000,0.956640,0.001424,99,0.001722
E-ADMM,38,0.500000,3.582938,0.001425,381,0.001723
E-ADMM-Nest,38,0.500000,1.109693,0.001424,119,0.001722
E-ADMM-HB,38,0.500000,0.772033,0.001425,82,0.001724
DY,38,0.250000,4.533523,0.010604,501,0.037532
DY-Nest,38,0.250000,1.742699,0.003240,190,0.005999
DY-HB,38,0.250000,1.281228,0.003235,141,0.005971
E2-ADMM,38,0.250000,4.751804,0.010409,501,0.036901
